is_number,field,held,portal,portal_number,withdrawn_on
IS 10118 (Part 1),Year,1982,2018,IS 10118 (Part 1):2018,
IS 10242 (Part 1/Sec 1),Year,1997,2023,IS 10242 (Part 1/Sec 1):2023,
IS 1026,Status,Superseded,Withdrawn,,2022-03-14 12:55:03
IS 10322 (Part 1),Year,1982,2014,IS 10322 (Part 1):2014,
IS 10418,Year,1982,2024,IS 10418:2024,
IS 10435 (Part 1),Status,Current,Withdrawn,,2023-10-16 04:09:08
IS 10606,Status,Current,Withdrawn,,2023-10-16 04:11:48
IS 10894,Status,Current,Withdrawn,,
IS 10947,Status,Current,Withdrawn,,
IS 11071 (Part 1),Status,Current,Withdrawn,,2026-02-05 00:00:00
IS 11116,Status,Current,Withdrawn,,
IS 11980,Status,Current,Withdrawn,,2025-01-02 04:36:29
IS 12288,Year,1988,1987,IS 12288:1987,
IS 12449 (Part 1),Status,Current,Withdrawn,,2024-05-20 02:55:38
IS 1258,Status,Current,Superseded,,
IS 12897,Status,Current,Withdrawn,,
IS 1293,Year,2005,2019,IS 1293:2019,
IS 13705,Status,Current,Withdrawn,,
IS 14333,Year,1996,2022,IS 14333:2022,
IS 14494,Year,1998,2019,IS 14494:2019,
IS 14763,Year,2000,2022,IS 14763:2022,
IS 14772,Year,2000,2020,IS 14772:2020,
IS 14885,Year,2001,2022,IS 14885:2022,
IS 14897,Year,2000,2021,IS 14897:2021,
IS 14927 (Part 1),Year,2001,2023,IS 14927 (Part 1):2023,
IS 14930 (Part 1),Status,Current,Withdrawn,,2022-03-14 12:55:03
IS 15111 (Part 1),Status,Current,Withdrawn,,
IS 1534 (Part 1),Status,Current,Withdrawn,,2024-05-20 02:51:05
IS 15450,Year,2004,2022,IS 15450:2022,
IS 15687 (Part 1),Status,Current,Withdrawn,,
IS 1569,Status,Current,Withdrawn,,
IS 15906,Year,2011,2010,IS 15906:2010,
IS 1591,Status,Superseded,Withdrawn,,2022-03-14 12:55:03
IS 16103 (Part 1),Year,2012,2025,IS 16103 (Part 1):2025,
IS 1653,Status,Superseded,Withdrawn,,2022-03-14 12:55:03
IS 1742,Year,1984,1983,IS 1742:1983,
IS 1778,Year,1981,1980,IS 1778:1980,
IS 1901,Status,Current,Withdrawn,,2024-05-20 02:51:57
IS 2206 (Part 1),Status,Current,Withdrawn,,2022-03-14 12:55:03
IS 2261,Status,Current,Withdrawn,,2024-05-20 02:53:15
IS 2274,Status,Superseded,Withdrawn,,2022-03-14 12:55:03
IS 2309,Status,Current,Withdrawn,,2022-03-14 12:55:03
IS 2407,Status,Current,Withdrawn,,2025-01-02 04:34:39
IS 2418 (Part 1),Year,1977,2018,IS 2418 (Part 1):2018,
IS 2593,Year,1984,2023,IS 2593:2023,
IS 2633,Year,1987,1986,IS 2633:1986,
IS 2667,Status,Superseded,Withdrawn,,2022-03-14 12:55:03
IS 2672,Status,Current,Withdrawn,,
IS 3010 (Part 1),Status,Current,Withdrawn,,2023-03-20 10:49:04
IS 3043,Year,1987,2018,IS 3043:2018,
IS 3480,Status,Superseded,Current,,
IS 3528,Status,Current,Withdrawn,,2022-03-14 12:55:03
IS 3553,Status,Current,Withdrawn,,2022-03-14 12:55:03
IS 3639,Year,1967,1966,IS 3639:1966,
IS 3646 (Part 1),Year,1992,2025,IS 3646 (Part 1):2025,
IS 375,Status,Superseded,Withdrawn,,2022-03-14 12:55:03
IS 3854,Status,Current,Superseded,,
IS 3961 (Part 2),Year,1967,2017,IS 3961 (Part 2):2017,
IS 4038,Year,1987,1986,IS 4038:1986,
IS 450,Status,Superseded,Withdrawn,,2022-03-14 12:55:03
IS 4736,Year,1987,1986,IS 4736:1986,
IS 4984,Year,1995,2016,IS 4984:2016,
IS 4985,Year,2000,2021,IS 4985:2021,
IS 5077,Status,Current,Withdrawn,,2022-03-14 12:55:03
IS 5578,Year,1985,1984,IS 5578:1984,
IS 5819,Year,1970,2024,IS 5819:2024,
IS 5950,Year,1984,2024,IS 5950:2024,
IS 6380,Year,1984,2024,IS 6380:2024,
IS 6554,Status,Current,Withdrawn,,2023-10-16 03:59:04
IS 6616,Status,Current,Withdrawn,,2022-03-14 12:55:03
IS 6745,Year,1973,1972,IS 6745:1972,
IS 6896,Status,Current,Withdrawn,,2022-03-14 12:55:03
IS 691,Status,Superseded,Withdrawn,,2022-03-14 12:55:03
IS 692,Status,Current,Withdrawn,,2023-10-16 03:52:22
IS 6965,Status,Current,Withdrawn,,2022-03-14 12:55:03
IS 7013,Status,Current,Withdrawn,,2022-03-14 12:55:03
IS 7027,Status,Current,Withdrawn,,2024-05-20 02:54:59
IS 7098 (Part 1),Year,1988,2025,IS 7098 (Part 1):2025,
IS 731,Year,1972,1971,IS 731:1971,
IS 7569,Status,Current,Withdrawn,,
IS 7678,Status,Current,Withdrawn,,2022-03-14 12:55:03
IS 778,Year,1986,1984,IS 778:1984,
IS 7785 (Part 1),Status,Current,Withdrawn,,2026-02-05 00:00:00
IS 781,Year,1985,1984,IS 781:1984,
IS 783,Year,1986,1985,IS 783:1985,
IS 7969,Year,1976,1975,IS 7969:1975,
IS 8030,Status,Current,Withdrawn,,2022-03-14 12:55:03
IS 816,Year,1971,1969,IS 816:1969,
IS 8200,Status,Current,Withdrawn,,2022-03-14 12:55:03
IS 8437 (Part 1),Status,Current,Withdrawn,,2022-03-14 12:55:03
IS 8913,Year,1978,2025,IS 8913:2025,
IS 897,Status,Current,Withdrawn,,
IS 9583,Status,Current,Withdrawn,,2024-11-26 11:05:37
IS 9968 (Part 1),Status,Current,Superseded,,
IS/IEC 60309 (Part 1),Year,2002,2021,IS/IEC 60309 (Part 1):2021,
IS/IEC 60320 (Part 1),Year,2001,2021,IS/IEC 60320 (Part 1):2021,
IS/IEC 61058 (Part 1),Year,2000,2016,IS/IEC 61058 (Part 1):2016,
SP 30,Year,2011,2023,SP 30:2023,
SP 72,Year,2010,2025,SP 72:2025,
