Source IS,Target IS,Tenders Citing Source,Tenders Citing Target,Co-citation Count,Confidence,Lift,Evidence Statement
IS 3975,IS 8130,8,22,8,1.0,6.091,Cited alongside IS 3975 in 8 of 8 comparable tenders
IS 3975,IS 5831,8,20,8,1.0,6.7,Cited alongside IS 3975 in 8 of 8 comparable tenders
IS 16105,IS 16106,9,18,9,1.0,7.444,Cited alongside IS 16105 in 9 of 9 comparable tenders
IS 3961,IS 1554,5,14,5,1.0,9.571,Cited alongside IS 3961 in 5 of 5 comparable tenders
IS 733,IS 1285,6,7,6,1.0,19.143,Cited alongside IS 733 in 6 of 6 comparable tenders
IS 15885 (Part 2),IS 16106,10,18,10,1.0,7.444,Cited alongside IS 15885 (Part 2) in 10 of 10 comparable tenders
IS 16108,IS 16106,10,18,10,1.0,7.444,Cited alongside IS 16108 in 10 of 10 comparable tenders
IS 10810,IS 8130,8,22,8,1.0,6.091,Cited alongside IS 10810 in 8 of 8 comparable tenders
IS 10418,IS 8130,9,22,9,1.0,6.091,Cited alongside IS 10418 in 9 of 9 comparable tenders
IS 3975,IS 10418,8,9,8,1.0,14.889,Cited alongside IS 3975 in 8 of 8 comparable tenders
IS 10810,IS 5831,8,20,8,1.0,6.7,Cited alongside IS 10810 in 8 of 8 comparable tenders
IS 8112,IS 456,7,11,7,1.0,12.182,Cited alongside IS 8112 in 7 of 7 comparable tenders
IS 1868,IS 1285,6,7,6,1.0,19.143,Cited alongside IS 1868 in 6 of 6 comparable tenders
IS 5831,IS 8130,20,22,19,0.95,5.786,Cited alongside IS 5831 in 19 of 20 comparable tenders
IS 16105,IS 15885 (Part 2),9,10,8,0.889,11.911,Cited alongside IS 16105 in 8 of 9 comparable tenders
IS 16103,IS 16107,9,14,8,0.889,8.508,Cited alongside IS 16103 in 8 of 9 comparable tenders
IS 16103,IS 16106,9,18,8,0.889,6.617,Cited alongside IS 16103 in 8 of 9 comparable tenders
IS 10418,IS 5831,9,20,8,0.889,5.956,Cited alongside IS 10418 in 8 of 9 comparable tenders
IS 10418,IS 3975,9,8,8,0.889,14.889,Cited alongside IS 10418 in 8 of 9 comparable tenders
IS 16105,IS 10322,9,23,8,0.889,5.179,Cited alongside IS 16105 in 8 of 9 comparable tenders
IS 3975,IS 7098,8,18,7,0.875,6.514,Cited alongside IS 3975 in 7 of 8 comparable tenders
IS 1489,IS 456,8,11,7,0.875,10.659,Cited alongside IS 1489 in 7 of 8 comparable tenders
IS 16104,IS 16106,8,18,7,0.875,6.514,Cited alongside IS 16104 in 7 of 8 comparable tenders
IS 8130,IS 5831,22,20,19,0.864,5.786,Cited alongside IS 8130 in 19 of 22 comparable tenders
IS 16107 (Part 2),IS 16106,7,18,6,0.857,6.381,Cited alongside IS 16107 (Part 2) in 6 of 7 comparable tenders
IS 1285,IS 733,7,6,6,0.857,19.143,Cited alongside IS 1285 in 6 of 7 comparable tenders
IS 16107 (Part 2),IS 10322 (Part 1),7,11,6,0.857,10.442,Cited alongside IS 16107 (Part 2) in 6 of 7 comparable tenders
IS 9103,IS 456,7,11,6,0.857,10.442,Cited alongside IS 9103 in 6 of 7 comparable tenders
IS 1285,IS 1868,7,6,6,0.857,19.143,Cited alongside IS 1285 in 6 of 7 comparable tenders
IS 383,IS 456,7,11,6,0.857,10.442,Cited alongside IS 383 in 6 of 7 comparable tenders
IS 16107 (Part 2),IS 10322 (Part 5),7,17,6,0.857,6.756,Cited alongside IS 16107 (Part 2) in 6 of 7 comparable tenders
IS 16107 (Part 2),IS 10322,7,23,6,0.857,4.994,Cited alongside IS 16107 (Part 2) in 6 of 7 comparable tenders
IS 16101,IS 16107,6,14,5,0.833,7.976,Cited alongside IS 16101 in 5 of 6 comparable tenders
IS 1868,IS 733,6,6,5,0.833,18.611,Cited alongside IS 1868 in 5 of 6 comparable tenders
IS 733,IS 1868,6,6,5,0.833,18.611,Cited alongside IS 733 in 5 of 6 comparable tenders
IS 10322 (Part 1),IS 10322,11,23,9,0.818,4.767,Cited alongside IS 10322 (Part 1) in 9 of 11 comparable tenders
IS 15622,IS 1285,5,7,4,0.8,15.314,Cited alongside IS 15622 in 4 of 5 comparable tenders
IS 16108,IS 10322,10,23,8,0.8,4.661,Cited alongside IS 16108 in 8 of 10 comparable tenders
IS 1536,IS 8329,5,9,4,0.8,11.911,Cited alongside IS 1536 in 4 of 5 comparable tenders
IS 1536,IS 1239,5,6,4,0.8,17.867,Cited alongside IS 1536 in 4 of 5 comparable tenders
IS 4759,IS 2062,5,11,4,0.8,9.745,Cited alongside IS 4759 in 4 of 5 comparable tenders
IS 15622,IS 1868,5,6,4,0.8,17.867,Cited alongside IS 15622 in 4 of 5 comparable tenders
IS 15885 (Part 2),IS 16105,10,9,8,0.8,11.911,Cited alongside IS 15885 (Part 2) in 8 of 10 comparable tenders
IS 1536,IS 3589,5,4,4,0.8,26.8,Cited alongside IS 1536 in 4 of 5 comparable tenders
IS 14930,IS 10322,5,23,4,0.8,4.661,Cited alongside IS 14930 in 4 of 5 comparable tenders
IS 1536,IS 4985,5,12,4,0.8,8.933,Cited alongside IS 1536 in 4 of 5 comparable tenders
IS 16108,IS 16107,10,14,8,0.8,7.657,Cited alongside IS 16108 in 8 of 10 comparable tenders
IS 16107,IS 10322,14,23,11,0.786,4.578,Cited alongside IS 16107 in 11 of 14 comparable tenders
IS 10418,IS 7098,9,18,7,0.778,5.79,Cited alongside IS 10418 in 7 of 9 comparable tenders
IS 16103,IS 10322,9,23,7,0.778,4.531,Cited alongside IS 16103 in 7 of 9 comparable tenders
IS 16104,IS 16108,8,10,6,0.75,10.05,Cited alongside IS 16104 in 6 of 8 comparable tenders
IS 16104,IS 10322,8,23,6,0.75,4.37,Cited alongside IS 16104 in 6 of 8 comparable tenders
IS 8130,IS 694,22,48,16,0.727,2.03,Cited alongside IS 8130 in 16 of 22 comparable tenders
IS 875,IS 2062,7,11,5,0.714,8.701,Cited alongside IS 875 in 5 of 7 comparable tenders
IS 16107 (Part 2),IS 16107,7,14,5,0.714,6.837,Cited alongside IS 16107 (Part 2) in 5 of 7 comparable tenders
IS 16107 (Part 2),IS 16105,7,9,5,0.714,10.635,Cited alongside IS 16107 (Part 2) in 5 of 7 comparable tenders
IS 16107 (Part 2),IS 15885 (Part 2),7,10,5,0.714,9.571,Cited alongside IS 16107 (Part 2) in 5 of 7 comparable tenders
IS 9103,IS 1489,7,8,5,0.714,11.964,Cited alongside IS 9103 in 5 of 7 comparable tenders
IS 16107,IS 16106,14,18,10,0.714,5.317,Cited alongside IS 16107 in 10 of 14 comparable tenders
IS 15885 (Part 2),IS 10322,10,23,7,0.7,4.078,Cited alongside IS 15885 (Part 2) in 7 of 10 comparable tenders
IS 5831,IS 694,20,48,14,0.7,1.954,Cited alongside IS 5831 in 14 of 20 comparable tenders
IS 16105,IS 16107,9,14,6,0.667,6.381,Cited alongside IS 16105 in 6 of 9 comparable tenders
IS 1239,IS 4985,6,12,4,0.667,7.444,Cited alongside IS 1239 in 4 of 6 comparable tenders
IS 16105,IS 16108,9,10,6,0.667,8.933,Cited alongside IS 16105 in 6 of 9 comparable tenders
IS 15885,IS 10322,6,23,4,0.667,3.884,Cited alongside IS 15885 in 4 of 6 comparable tenders
IS 16101,IS 16106,6,18,4,0.667,4.963,Cited alongside IS 16101 in 4 of 6 comparable tenders
IS 1868,IS 15622,6,5,4,0.667,17.867,Cited alongside IS 1868 in 4 of 6 comparable tenders
IS 1239,IS 1536,6,5,4,0.667,17.867,Cited alongside IS 1239 in 4 of 6 comparable tenders
IS 16103,IS 16108,9,10,6,0.667,8.933,Cited alongside IS 16103 in 6 of 9 comparable tenders
IS 16106,IS 10322,18,23,12,0.667,3.884,Cited alongside IS 16106 in 12 of 18 comparable tenders
IS 1554,IS 694,14,48,9,0.643,1.795,Cited alongside IS 1554 in 9 of 14 comparable tenders
IS 456,IS 1489,11,8,7,0.636,10.659,Cited alongside IS 456 in 7 of 11 comparable tenders
IS 456,IS 8112,11,7,7,0.636,12.182,Cited alongside IS 456 in 7 of 11 comparable tenders
IS 10322 (Part 1),IS 16106,11,18,7,0.636,4.737,Cited alongside IS 10322 (Part 1) in 7 of 11 comparable tenders
IS 3975,IS 1554,8,14,5,0.625,5.982,Cited alongside IS 3975 in 5 of 8 comparable tenders
IS 1489,IS 9103,8,7,5,0.625,11.964,Cited alongside IS 1489 in 5 of 8 comparable tenders
IS 10810,IS 7098,8,18,5,0.625,4.653,Cited alongside IS 10810 in 5 of 8 comparable tenders
IS 3043,IS 2062,8,11,5,0.625,7.614,Cited alongside IS 3043 in 5 of 8 comparable tenders
IS 3975,IS 10810,8,8,5,0.625,10.469,Cited alongside IS 3975 in 5 of 8 comparable tenders
IS 16104,IS 10322 (Part 5),8,17,5,0.625,4.926,Cited alongside IS 16104 in 5 of 8 comparable tenders
IS 10810,IS 694,8,48,5,0.625,1.745,Cited alongside IS 10810 in 5 of 8 comparable tenders
IS 10810,IS 3975,8,8,5,0.625,10.469,Cited alongside IS 10810 in 5 of 8 comparable tenders
IS 10810,IS 10418,8,9,5,0.625,9.306,Cited alongside IS 10810 in 5 of 8 comparable tenders
IS 16104,IS 16107,8,14,5,0.625,5.982,Cited alongside IS 16104 in 5 of 8 comparable tenders
IS 14930,IS 7098,5,18,3,0.6,4.467,Cited alongside IS 14930 in 3 of 5 comparable tenders
