Source IS,Target IS,Tenders Citing Source,Tenders Citing Target,Co-citation Count,Confidence,Lift,Evidence Statement
IS 10418,IS 8130,27,56,27,1.0,21.643,Cited alongside IS 10418 in 27 of 27 comparable tenders
IS 651,IS 13592,24,39,24,1.0,31.077,Cited alongside IS 651 in 24 of 24 comparable tenders
IS 651,IS 694,24,120,24,1.0,10.1,Cited alongside IS 651 in 24 of 24 comparable tenders
IS 651,IS 774,24,24,24,1.0,50.5,Cited alongside IS 651 in 24 of 24 comparable tenders
IS 774,IS 13592,24,39,24,1.0,31.077,Cited alongside IS 774 in 24 of 24 comparable tenders
IS 774,IS 651,24,24,24,1.0,50.5,Cited alongside IS 774 in 24 of 24 comparable tenders
IS 774,IS 694,24,120,24,1.0,10.1,Cited alongside IS 774 in 24 of 24 comparable tenders
IS 14443,IS 14246,23,33,23,1.0,36.727,Cited alongside IS 14443 in 23 of 23 comparable tenders
IS 1852,IS 2062,22,159,22,1.0,7.623,Cited alongside IS 1852 in 22 of 22 comparable tenders
IS 7231,IS 13592,22,39,22,1.0,31.077,Cited alongside IS 7231 in 22 of 22 comparable tenders
IS 7231,IS 3564,22,24,22,1.0,50.5,Cited alongside IS 7231 in 22 of 22 comparable tenders
IS 7231,IS 428,22,23,22,1.0,52.696,Cited alongside IS 7231 in 22 of 22 comparable tenders
IS 7231,IS 651,22,24,22,1.0,50.5,Cited alongside IS 7231 in 22 of 22 comparable tenders
IS 7231,IS 694,22,120,22,1.0,10.1,Cited alongside IS 7231 in 22 of 22 comparable tenders
IS 7231,IS 774,22,24,22,1.0,50.5,Cited alongside IS 7231 in 22 of 22 comparable tenders
IS 13983,IS 13592,22,39,22,1.0,31.077,Cited alongside IS 13983 in 22 of 22 comparable tenders
IS 6994,IS 2925,21,27,21,1.0,44.889,Cited alongside IS 6994 in 21 of 21 comparable tenders
IS 6994,IS 3521,21,23,21,1.0,52.696,Cited alongside IS 6994 in 21 of 21 comparable tenders
IS 2923,IS 1231,21,33,21,1.0,36.727,Cited alongside IS 2923 in 21 of 21 comparable tenders
IS 2923,IS 12701,21,29,21,1.0,41.793,Cited alongside IS 2923 in 21 of 21 comparable tenders
IS 2923,IS 13489,21,23,21,1.0,52.696,Cited alongside IS 2923 in 21 of 21 comparable tenders
IS 2923,IS 13592,21,39,21,1.0,31.077,Cited alongside IS 2923 in 21 of 21 comparable tenders
IS 2923,IS 13983,21,22,21,1.0,55.091,Cited alongside IS 2923 in 21 of 21 comparable tenders
IS 2923,IS 14246,21,33,21,1.0,36.727,Cited alongside IS 2923 in 21 of 21 comparable tenders
IS 2923,IS 303,21,33,21,1.0,36.727,Cited alongside IS 2923 in 21 of 21 comparable tenders
