Tenders Citing,IS Number
10,IS 5983
10,IS 6994
9,IS 13489
9,IS 9001
8,IS 10
8,IS 11006
8,IS 1235
8,IS 13252 (Part 1)
8,IS 13364
8,IS 2209
8,IS 2923
8,IS 373
8,IS 4077
8,IS 47701
8,IS 5894
8,IS 6016
8,IS 6519
8,IS 6901
8,IS 8016
8,IS 9167
6,IS 4989
6,IS 6533 (Pt (i)
4,IS 12436
3,IS 11352
3,IS 11705
3,IS 12724
3,IS 2508
3,IS 384
3,IS 4576
3,IS 548
3,IS 548 (Part I)
3,IS 6821
2,IS 10001
2,IS 10353
2,IS 105
2,IS 1060 (Part - 2)
2,IS 1070
2,IS 11239
2,IS 1153
2,IS 1335
2,IS 13364 (i)
2,IS 13364 (iii)
2,IS 1365
2,IS 138
2,IS 15
2,IS 1501
2,IS 15473
2,IS 15489
2,IS 15489 (2004)
2,IS 16684
2,IS 177
2,IS 17953
2,IS 2049
2,IS 2102
2,IS 2102 (MEDIUM)
2,IS 253
2,IS 2707
2,IS 2785
2,IS 309
2,IS 3103
2,IS 3177
2,IS 319
2,IS 3470
2,IS 3635
2,IS 4081
2,IS 440
2,IS 4501
2,IS 4501 (VI)
2,IS 4771
2,IS 4989 (Part II)
2,IS 548 (Part-II)
2,IS 6533 (Pt 1&2)
2,IS 67
2,IS 6821 (Table-1)
2,IS 6994 (Part I)
2,IS 7372
2,IS 785
2,IS 7959
2,IS 8223
2,IS 90
1,IS 09
1,IS 10046
1,IS 10085
1,IS 10162
1,IS 10265
1,IS 10357
1,IS 10358
1,IS 10596
1,IS 1060 (Part 1)
1,IS 1060 (Part 2)
1,IS 1060 (Part-2)
1,IS 10640
1,IS 1065 (Part 1)
1,IS 10724
1,IS 10842
1,IS 10842 (All Parts)
1,IS 10946
1,IS 10949
1,IS 11057
1,IS 11186
1,IS 11308
1,IS 1154
1,IS 11548
1,IS 11732
1,IS 11851
1,IS 12
1,IS 1206 (Part-3)
1,IS 12107
1,IS 12305
1,IS 12393
1,IS 12484
1,IS 1259
1,IS 1260 (Part I)
1,IS 12676
1,IS 12744
1,IS 12784 (Part-1)
1,IS 12824
1,IS 12986
1,IS 12987
1,IS 1336
1,IS 13369
1,IS 13498
1,IS 13529
1,IS 1370
1,IS 138 (latest issue)
1,IS 14130
1,IS 1422
1,IS 14225
1,IS 14257
1,IS 14276
1,IS 14589
1,IS 14611
1,IS 14635
1,IS 14635 (Part 1)
1,IS 14643
1,IS 14703
1,IS 1472
1,IS 14726
1,IS 1493 (Part 1)
1,IS 1499
1,IS 15061
1,IS 15086
1,IS 15177
1,IS 1527
1,IS 1535
1,IS 15397
1,IS 15410
1,IS 15443
1,IS 15473 (as amended)
1,IS 15505
1,IS 15560
1,IS 1559
1,IS 16
1,IS 1600
1,IS 1638
1,IS 16479
1,IS 16683
1,IS 16738
1,IS 1674
1,IS 17004
1,IS 17011
1,IS 1717
1,IS 17275 (Part 1)
1,IS 17275 (Part 2)
1,IS 174
1,IS 1745
1,IS 1745 (1978)
1,IS 1757
1,IS 1802 (Part-I)
1,IS 1828
1,IS 1837
1,IS 1857
1,IS 190
1,IS 194
1,IS 1954
1,IS 1969
1,IS 1969 (Part 1)
1,IS 1969 (Part 2)
1,IS 1971
1,IS 1983 (Part 1)
1,IS 1987
1,IS 1998
1,IS 20234
1,IS 2034
1,IS 2048
1,IS 2050
1,IS 2075
1,IS 21016
1,IS 2102 (fine)
1,IS 2166
1,IS 22
1,IS 2269
1,IS 227
1,IS 2277
1,IS 2285
1,IS 2339
1,IS 2360
1,IS 2368 (part 1)
1,IS 2380
1,IS 2388
1,IS 2393
1,IS 2429
1,IS 2454
1,IS 264
1,IS 2668
1,IS 2712
1,IS 2743
1,IS 276
1,IS 2771 (PART-I)
1,IS 2808
1,IS 2809
1,IS 2818
1,IS 2827
1,IS 292
1,IS 292785
1,IS 296
1,IS 299
1,IS 308
1,IS 3117
1,IS 3177 (1999)
1,IS 3314
1,IS 3355
1,IS 3364
1,IS 3395
1,IS 3447
1,IS 3455
1,IS 3470 (as amended)
1,IS 3487
1,IS 3601
1,IS 367
1,IS 3703
1,IS 376
1,IS 3832 (India)
1,IS 3888
1,IS 3896
1,IS 390
1,IS 3908
1,IS 3921 (1985)
1,IS 40
1,IS 4006 (Part 1)
1,IS 4006 (Part- 1)
1,IS 4006 (Part-1)
1,IS 403
1,IS 405 (Part 2)
1,IS 4137
1,IS 4163
1,IS 419
1,IS 4229
1,IS 4249
1,IS 4249 (e)
1,IS 4367
1,IS 4381
1,IS 446
1,IS 4460 (1995)
1,IS 4472 (PT.I)
1,IS 4573
1,IS 4576 (Latest)
1,IS 4682 (Part-1)
1,IS 469
1,IS 46991
1,IS 4727
1,IS 48
1,IS 4835
1,IS 4891
1,IS 4897
1,IS 49
1,IS 4904
1,IS 4930 (Part 3)
1,IS 4989 (latest revision)
1,IS 4993 (1997)
1,IS 50
1,IS 5165
1,IS 5204
1,IS 5326
1,IS 533
1,IS 548 (Part-1)
1,IS 548 (Part-ll)
1,IS 5485
1,IS 549
1,IS 5530
1,IS 5641
1,IS 5661
1,IS 5692
1,IS 5724
1,IS 5730 (IS70)
1,IS 5749
1,IS 5988
1,IS 60
1,IS 60137
1,IS 60439
1,IS 60840
1,IS 616
1,IS 6192
1,IS 63
1,IS 6391
1,IS 656
1,IS 662
1,IS 6662
1,IS 667
1,IS 6685
1,IS 6688
1,IS 6803
1,IS 6848
1,IS 6876
1,IS 6994 (Part 6)
1,IS 7018
1,IS 706
1,IS 7067
1,IS 7344
1,IS 738
1,IS 7386
1,IS 7497
1,IS 758
1,IS 7624
1,IS 7633
1,IS 764
1,IS 7652
1,IS 7835
1,IS 7888
1,IS 8134
1,IS 8156
1,IS 8252
1,IS 8255
1,IS 8367
1,IS 8540
1,IS 8543 (pt1/sec2)
1,IS 8598
1,IS 8603
1,IS 8629
1,IS 876
1,IS 8789
1,IS 8791
1,IS 8794
1,IS 9113
1,IS 9295
1,IS 9428
1,IS 9434
1,IS 9434 (based on IEC: 60567)
1,IS 9474
1,IS 9507
1,IS 9507 (LATEST)
1,IS 9550
1,IS 958
1,IS 9839
1,IS 9862
1,IS 9947
