IS Number,Full Title,Year,Status,Replaced By,Supersedes,Product Family,Priority,Source Link,IS Base,Cited As,Collected From,Department Id,Committee Id
IS 2099:1986,Bushings for alternating voltages above 1 000 Volts,,Withdrawn,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 2099,IS 2099,BIS searchKnowStandards,65,240
IS 2026 (Part 1):2011,Power transformers: Part 1 general (Second Revision),2011.0,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 2026,IS 2026,BIS searchKnowStandards,65,250
IS 3231 (Part 0):1986,Electrical relays for power systems protection: Part 0 General introduction and list of parts,,Withdrawn,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 3231,IS 3231,BIS searchKnowStandards,65,268
IS 325:1996,Three-phase Induction Motors,,Withdrawn,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 325,IS 325,BIS searchKnowStandards,65,249
IS 8623 (Part 1):1993,Low-Voltage Switchgear and Controlgear Assemblies - Part 1 : Requirements for Type-Tested and Partially Type-Tested Assemblies,,Withdrawn,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 8623,IS 8623,BIS searchKnowStandards,65,241
IS 2705 (Part 1):1992,Current transformers - Specification: Part 1 general requirements (Second Revision),1992.0,Withdrawn,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 2705,IS 2705,BIS searchKnowStandards,65,267
IS 13947 (Part 1):1993,Low-voltage Switchgear and Controlgear - Part 1 : General Rules,,Withdrawn,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 13947,IS 13947,BIS searchKnowStandards,65,241
IS 5578:1984,Guide for marking of insulated conductors (First Revision),1985.0,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 5578,IS 5578,BIS searchKnowStandards,65,236
IS 3156 (Part 1):1992,Voltage transformers: Part 1 General requirements,,Withdrawn,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 3156,IS 3156,BIS searchKnowStandards,65,267
IS 5082:1998,"Wrought aluminium and aluminium alloy bars, rods, tubes, sections, plates and sheets for electrical applications (Second Revision)",1998.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 5082,IS 5082,BIS searchKnowStandards,70,30
IS 1248 (Part 1):2021,Direct Acting Indicating Analogue Electrical Measuring Instruments and their Accessories Part 1 Definitions and General Requirements ( Fifth Revision ),2021.0,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1248,IS 1248,BIS searchKnowStandards,65,246
IS 2147:1962,Degrees of protection provided by enclosures for low voltage switchgear and controlgear,,Withdrawn,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 2147,IS 2147,BIS searchKnowStandards,65,251
IS 2062 (Part 1):2025,Structural Steel - Part 1 - Hot Rolled Medium and High tensile  Steel,2025.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 2062,IS 2062,BIS searchKnowStandards,70,27
IS 2629 (Part 1):2025,"Process, Design, Testing and Application of Hot Dip Galvanizing of Iron and Steel - Code of Practice  Part 1 Batch Process ( Second Revision )",2025.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 2629,IS 2629,BIS searchKnowStandards,70,111
IS 269:2015,Ordinary portland cement - Specification (Sixth Revision),2015.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 269,IS 269,BIS searchKnowStandards,63,190
IS 335:2018,New insulating oils - Specification (Fifth Revision),2018.0,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 335,IS 335,BIS searchKnowStandards,65,238
IS 1893 (Part 1):2016,Design Earthquake Hazard  and  Criteria for Earthquake-Resistant Design of Structures  Part 1 General Provisions   ( Seventh Revision ),,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1893,IS 1893,BIS searchKnowStandards,63,210
IS 3589:2001,Steel pipes for water and sewage (168.3 To 2540 Mm Outside Diameter) - Specification (Third Revision),2001.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 3589,IS 3589,BIS searchKnowStandards,70,40
IS 1363 (Part 1):2023,"Hexagon head bolts, screws and nuts of product grade C Part 1 Hexagon head bolts (Size range M5 to M64)  (sixth revision)",2023.0,Current,UNKNOWN,UNKNOWN,PGD — Production And General Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1363,IS 1363,BIS searchKnowStandards,74,320
IS 2633:1986,Method for testing uniformity of coating on zinc coated articles (Second Revision),1987.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 2633,IS 2633,BIS searchKnowStandards,70,111
IS 554:1999,"Pipe threads where pressure - Tight joints are made on the threads - Dimensions, tolerances and designation (Fourth Revision)",1999.0,Current,UNKNOWN,UNKNOWN,PGD — Production And General Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 554,IS 554,BIS searchKnowStandards,74,320
IS 800:2007,General construction in steel - Code of practice (Third Revision),2007.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 800,IS 800,BIS searchKnowStandards,63,195
IS 1161:2014,Steel tubes for structural purposes - Specification (Fifth Revision),2014.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1161,IS 1161,BIS searchKnowStandards,70,40
IS 6005:1998,Code of practice for phosphate coatings of iron and steel (First Revision),1998.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 6005,IS 6005,BIS searchKnowStandards,70,111
