IS Number,Full Title,Year,Status,Replaced By,Supersedes,Product Family,Priority,Source Link,IS Base,Cited As,Collected From,Department Id,Committee Id
IS 1000:2021,Edible Lactose  —  Specification (Second Revision),2021,Superseded,UNKNOWN,UNKNOWN,FAD — Food And Agriculture Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1000,IS 1000,BIS searchKnowStandards,61,136
IS 10000 (Part 1):1980,Methods of tests for internal combustion engines: Part 1 glossary of terms relating to test methods,1982,Current,UNKNOWN,UNKNOWN,TED — Transport Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10000,IS 10000,BIS searchKnowStandards,67,76
IS 10002:1981,Specification for performance requirements for constant speed compression ignition (Diesel) engines for general purposes (Above 20 KW),1981,Current,UNKNOWN,UNKNOWN,TED — Transport Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10002,IS 10002,BIS searchKnowStandards,67,76
IS 10011:2022,Dentistry  Polymer-based restorative materials  Second Revision,2022,Current,UNKNOWN,UNKNOWN,MHD — Medical Equipment And Hospital Planning Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10011,IS 10011,BIS searchKnowStandards,64,18
IS 10027:2018,Composite units of air - Break switches and rewirable type fuses for voltages not exceeding 650 v a.c. - Specification (Second Revision),2018,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10027,IS 10027,BIS searchKnowStandards,65,241
IS 1003 (Part 1):2003,Timber Panelled and Glazed Shutters : Part 1 Door shutters -,2003,Withdrawn,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1003,IS 1003,BIS searchKnowStandards,63,197
IS 10037 (Part 1):1981,"Requirements for sludge dewatering equipment: Part I Sludge drying beds-sand, gravel and underdrains",1982,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10037,IS 10037,BIS searchKnowStandards,63,203
IS 10086:2021,"Moulds for Use in Tests of Cement, Concrete and Pozzolana (First Revision)",2021,Superseded,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10086,IS 10086,BIS searchKnowStandards,63,190
IS 101 (Part 1/Sec 1):2023,"Methods of sampling and test for paints, varnishes and related products : Part 1 tests on liquid paints (general and physical): Sec 1 sampling (Fourth Revision)",2023,Current,UNKNOWN,UNKNOWN,CHD — Chemical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 101,IS 101,BIS searchKnowStandards,62,181
IS 10108:1982,Code of practice for sampling of soils by thin wall sampler with stationary piston,1982,Withdrawn,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10108,IS 10108,BIS searchKnowStandards,63,212
IS 10141:2001,"Positive List of Constituents of Polyethylene in Contact with Foodstuffs, Pharmaceuticals and Drinking Water",,Withdrawn,UNKNOWN,UNKNOWN,"PCD — Petroleum, Coal And Related Products Department",Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10141,IS 10141,BIS searchKnowStandards,69,52
IS 10146:1982,"Specification for polyethylene for its safe use in contact with foodstuffs, pharmaceuticals and drinking water ",1982,Current,UNKNOWN,UNKNOWN,"PCD — Petroleum, Coal And Related Products Department",Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10146,IS 10146,BIS searchKnowStandards,69,52
IS 10151:2019,"Polyvinyl chloride (pvc) and its copolymers for its safe use in contact with foodstuffs, pharmaceuticals and drinking water - Specification (First Revision)",2019,Current,UNKNOWN,UNKNOWN,"PCD — Petroleum, Coal And Related Products Department",Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10151,IS 10151,BIS searchKnowStandards,69,52
IS 10178:1995,Co2 gas shielded metal - Arc welding of structural steels - Recommendations (First Revision),1995,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10178,IS 10178,BIS searchKnowStandards,70,34
IS 1018:1982,"Padlocks, Brass, Lever Type, Machine Made",,Withdrawn,UNKNOWN,UNKNOWN,MED — Mechanical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1018,IS 1018,BIS searchKnowStandards,68,311
IS 10192:1982,Specification for synthetic resin bonded glass fibre (SRBGF) for electrical purposes,1983,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10192,IS 10192,BIS searchKnowStandards,65,237
IS 102:1962,"Ready mixed paint, brushing, red lead, non-setting, priming",,Withdrawn,UNKNOWN,UNKNOWN,CHD — Chemical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 102,IS 102,BIS searchKnowStandards,62,173
IS 10204:2001,Specification for  portable fire extinguisher mechanical foam type,,Withdrawn,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10204,IS 10204,BIS searchKnowStandards,63,202
