IS Number,Full Title,Title (Hindi),Year,Status,Replaced By,Supersedes,Product Family,Priority,Source Link,IS Base,Review Due,Collected From,Department Id,Committee Id
IS 10007:1981,Lifeboats' Steel Blocks,,1982.0,Withdrawn,UNKNOWN,UNKNOWN,TED — Transport Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10007,2031-03-31,BIS searchKnowStandards (catalogue sweep),67,86
IS 10019:1981,Specification for mild steel stays and fasteners,,1982.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10019,2027-01-31,BIS searchKnowStandards (catalogue sweep),63,200
IS 10117:2000,"Code of practice for passivation of stainless steel articles, industrial equipments and components including pipelines (First Revision)",,2000.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10117,2031-03-27,BIS searchKnowStandards (catalogue sweep),70,111
IS 10121 (Part 1):1982,"Specification for metal bone screws – Mechanical requirements and methods of test Part 1 screws with asymmetrical thread, variable fitting (Spherical), Stainless Steel",,1982.0,Current,UNKNOWN,UNKNOWN,MHD — Medical Equipment And Hospital Planning Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10121,2031-02-28,BIS searchKnowStandards (catalogue sweep),64,12
IS 10121 (Part 2):1982,"Specification for metal bone screws - Mechanical requirements and methods of test Part 2 screws with asymmetrical thread, constant fitting (Spherical), stainless steel",,1982.0,Current,UNKNOWN,UNKNOWN,MHD — Medical Equipment And Hospital Planning Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10121,2031-02-28,BIS searchKnowStandards (catalogue sweep),64,12
IS 10138:2010,Macroscopic methods for determination of non-metallic inclusion content in wrought steels (Second Revision),,2010.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10138,2027-03-31,BIS searchKnowStandards (catalogue sweep),70,42
IS 10178:1995,Co2 gas shielded metal - Arc welding of structural steels - Recommendations (First Revision),,1995.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10178,2029-02-28,BIS searchKnowStandards (catalogue sweep),70,34
IS 10181:1982,Method for determination of magnetic permeability of iron and steel,,1982.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10181,2027-03-31,BIS searchKnowStandards (catalogue sweep),70,27
IS 10198:1982,"Specification for carbon steel, safety razor blades",,1982.0,Current,UNKNOWN,UNKNOWN,PGD — Production And General Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10198,2028-12-31,BIS searchKnowStandards (catalogue sweep),74,151
IS 10206:1982,Methods of sampling steel wires,,1982.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10206,2029-03-31,BIS searchKnowStandards (catalogue sweep),70,27
IS 10221:2008,Coating and wrapping of underground mild steel pipelines - Code of practice (First Revision),,2008.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10221,2031-03-27,BIS searchKnowStandards (catalogue sweep),70,111
IS 10238:2001,Fasteners - Threaded steel fasteners - Step bolts for steel structures - Specification  (First Revision),,2001.0,Current,UNKNOWN,UNKNOWN,PGD — Production And General Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10238,2030-06-25,BIS searchKnowStandards (catalogue sweep),74,320
IS 10248 (Part 1):2011,Parallel pins with internal thread: Part 1 unhardened steel and austenitic stainless steel  (First Revision),,2011.0,Current,UNKNOWN,UNKNOWN,PGD — Production And General Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10248,2030-06-25,BIS searchKnowStandards (catalogue sweep),74,320
IS 10248 (Part 2):2011,Parallel pins with internal thread: Part 2 hardened steel and martensitic stainless steel  (First Revision),,2011.0,Current,UNKNOWN,UNKNOWN,PGD — Production And General Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10248,2030-06-25,BIS searchKnowStandards (catalogue sweep),74,320
IS 1029:1970,Specification for hot-rolled steel strip (Baling) (First Revision),,1971.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1029,2029-03-31,BIS searchKnowStandards (catalogue sweep),70,27
IS 1030:1998,Carbon steel castings for general engineering purposes - Specification (Fifth Revision),,1998.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1030,2027-01-31,BIS searchKnowStandards (catalogue sweep),70,37
IS 10343:1999,Carbon and low alloy steel investment castings for general applications - Specification (Second Revision),,1999.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10343,2027-02-28,BIS searchKnowStandards (catalogue sweep),70,37
IS 10345:2004,Flux grade limestone for use in iron and steel making - Specification (Second Revision),,2004.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10345,2028-10-31,BIS searchKnowStandards (catalogue sweep),70,36
IS 1038:1983,"Specification For Steel Doors, Windows And Ventilators",,1983.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1038,2027-01-31,BIS searchKnowStandards (catalogue sweep),63,197
IS 10447:1983,Guidelines for Utilization and Disposal of Solid Wastes from Integrated Steel Plants,,1983.0,Current,UNKNOWN,UNKNOWN,EED — Environment And Ecology Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10447,2028-06-13,BIS searchKnowStandards (catalogue sweep),110,470
IS 10447:2026,Solid Waste Management in Iron and Steel Plants — Guidelines ( First Revision ),लौह और इस्पात संयंत्रों में ठोस अपशिष्ट प्रबंधन — दिशानिर्देश  ( पहला पनुरीक्षण ),2026.0,Current,UNKNOWN,UNKNOWN,EED — Environment And Ecology Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10447,2031-08-04,BIS searchKnowStandards (catalogue sweep),110,470
IS 10451:1983,Specification for steel sliding shutters (Top Hung Type),,1983.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10451,2027-01-31,BIS searchKnowStandards (catalogue sweep),63,197
IS 10461 (Part 1):2025,Resistance to inter - Granular corrosion of austenitic stainless steels - Method for determination - Part 1 : corrosion test in nitric acid medium by measurement of loss in mass Huey Test,,2025.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10461,2030-06-30,BIS searchKnowStandards (catalogue sweep),70,111
IS 10461 (Part 2):1994,Resistance to intergranular corrosion of austenitic stainless steels - Method for determination: Part 2 corrosion test in a sulphuric acid/copper sulphate medium in the presence of copper turnings (Monypenny Strauss Test) in the presence of copper turnings (Monypenny Strauss Test) (First Revision),,1994.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10461,2026-03-31,BIS searchKnowStandards (catalogue sweep),70,111
IS 10489:1983,Specification for steel dresser for abrasive wheels,,1983.0,Withdrawn,UNKNOWN,UNKNOWN,PGD — Production And General Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10489,2029-12-05,BIS searchKnowStandards (catalogue sweep),74,149
IS 10604 (Part 1):1983,Specification for machining allowances and tolerances for open die steel forgings: Part 1 carbon and low alloy steel forgings: Part 1 carbon and low alloy steel forgings,,1984.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10604,2028-03-31,BIS searchKnowStandards (catalogue sweep),70,39
IS 10604 (Part 2):1983,Machining allowances and tolerances for open die steel forgings: Part 2 high alloy steel forgings,,1984.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10604,2028-03-31,BIS searchKnowStandards (catalogue sweep),70,39
IS 10605:1989,"Steel globe valves (Flanged And Butt Welded Ends) for petroleum, petrochemical and allied industries - Specification (First Revision)","पेट्रोलियम, पेट्रोकेमिकल और संबद्ध उद्योगों के लिए स्टील ग्लोब वाल्व (फ्लैंग्ड और बट वेल्डेड एंड्स) - विशिष्टता (पहला संशोधन)",1990.0,Current,UNKNOWN,UNKNOWN,MED — Mechanical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10605,2031-08-04,BIS searchKnowStandards (catalogue sweep),68,298
IS 10623:2023,Drop Weight Tear Test on Ferritic Steels and Line Pipe ? Method of Test,,2023.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10623,2028-12-02,BIS searchKnowStandards (catalogue sweep),70,26
IS 10631:1983,Specification for stainless steel for welding electrode core wire,,1983.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10631,2029-04-30,BIS searchKnowStandards (catalogue sweep),70,39
IS 10632 (Part 1):1983,Specification for non magnetic stainless steels for electrical applications: Part 1 general requirements,,1983.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10632,2029-04-30,BIS searchKnowStandards (catalogue sweep),70,39
