IS Number,Full Title,Year,Status,Replaced By,Supersedes,Product Family,Priority,Source Link,IS Base,Cited As,Collected From,Department Id,Committee Id
IS 10109:2018,Oil pressure stoves - Offset burner type - Specification (Second Revision),2018,Current,UNKNOWN,UNKNOWN,MED — Mechanical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10109,IS 10109,BIS searchKnowStandards,68,4
IS 10116:2015,Boric acid - Specification (First Revision),2015,Current,UNKNOWN,UNKNOWN,CHD — Chemical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10116,IS 10116,BIS searchKnowStandards,62,170
IS 10116:2015,Boric acid - Specification (First Revision),2015,Current,UNKNOWN,UNKNOWN,CHD — Chemical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10116,IS 10116 : 2015,BIS searchKnowStandards,62,170
IS 1019:1974,Specification for rim latches (Second Revision),1975,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1019,IS 1019,BIS searchKnowStandards,63,200
IS 1019:1974,Specification for rim latches (Second Revision),1975,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1019,IS 1019:1974,BIS searchKnowStandards,63,200
IS 10238:2001,Fasteners - Threaded steel fasteners - Step bolts for steel structures - Specification  (First Revision),2001,Current,UNKNOWN,UNKNOWN,PGD — Production And General Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10238,IS 10238,BIS searchKnowStandards,74,320
IS 10238:2001,Fasteners - Threaded steel fasteners - Step bolts for steel structures - Specification  (First Revision),2001,Current,UNKNOWN,UNKNOWN,PGD — Production And General Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10238,IS 10238:2001,BIS searchKnowStandards,74,320
IS 1029:1970,Specification for hot-rolled steel strip (Baling) (First Revision),1971,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1029,IS 1029,BIS searchKnowStandards,70,27
IS 1029:1970,Specification for hot-rolled steel strip (Baling) (First Revision),1971,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1029,IS 1029 : 1970,BIS searchKnowStandards,70,27
IS 10325:2000,"Square tins -- 15 kg/litre for ghee, vanaspati, edible oils and bakery shortenings -- Specification (Second Revision)",2000,Current,UNKNOWN,UNKNOWN,PGD — Production And General Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10325,IS 10325,BIS searchKnowStandards,74,374
IS 10325:2000,"Square tins -- 15 kg/litre for ghee, vanaspati, edible oils and bakery shortenings -- Specification (Second Revision)",2000,Current,UNKNOWN,UNKNOWN,PGD — Production And General Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10325,IS 10325:2000,BIS searchKnowStandards,74,374
IS 10631:1983,Specification for stainless steel for welding electrode core wire,1983,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10631,IS 10631,BIS searchKnowStandards,70,39
IS 10631:1983,Specification for stainless steel for welding electrode core wire,1983,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10631,IS 10631:1983,BIS searchKnowStandards,70,39
IS 10632 (Part 1):1983,Specification for non magnetic stainless steels for electrical applications: Part 1 general requirements,1983,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10632,IS 10632,BIS searchKnowStandards,70,39
IS 10632 (Part 2):1983,Specification for non magnetic stainless steels for electrical applications: Part 2 specific requirements for binding wires,1983,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10632,IS 10632 (Part 2):1983,BIS searchKnowStandards,70,39
IS 10632 (Part 3):1983,"Specification for non magnetic stainless steels for electrical applications: Part 3 specific requirements for sheets, strips and plates",1983,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10632,IS 10632 (Part 3):1983,BIS searchKnowStandards,70,39
IS 10701:2012,Structural plywood - Specification (First Revision),2012,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10701,IS 10701,BIS searchKnowStandards,63,201
IS 10701:2012,Structural plywood - Specification (First Revision),2012,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10701,IS 10701 : 2012,BIS searchKnowStandards,63,201
IS 10773:2025,Wrought copper tubes for refrigeration and air-conditioning purposes — Specification (Second Revision),2025,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10773,IS 10773,BIS searchKnowStandards,70,31
IS 10773:1995,Wrought copper tubes for refrigeration and air - Conditioning purposes - Specification (First Revision),1995,Withdrawn,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10773,IS 10773:1995,BIS searchKnowStandards,70,31
IS 10794:1984,Specification for mild steel wire for cotter pins,1984,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10794,IS 10794,BIS searchKnowStandards,70,27
IS 10794:1984,Specification for mild steel wire for cotter pins,1984,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10794,IS 10794: 1984,BIS searchKnowStandards,70,27
IS 1084:2005,Textiles – Manila ropes – Specification (fifth revision),2005,Current,UNKNOWN,UNKNOWN,TXD — Textile Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1084,IS 1084,BIS searchKnowStandards,71,64
IS 1084:2005,Textiles – Manila ropes – Specification (fifth revision),2005,Current,UNKNOWN,UNKNOWN,TXD — Textile Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1084,IS 1084:2005,BIS searchKnowStandards,71,64
IS 10931:2023,Lauric Acid - Specification (first revision of IS 10931),2023,Current,UNKNOWN,UNKNOWN,FAD — Food And Agriculture Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10931,IS 10931,BIS searchKnowStandards,61,115
IS 10931:1984,Specification for lauric acid,1984,Withdrawn,UNKNOWN,UNKNOWN,FAD — Food And Agriculture Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10931,IS 10931 : 1984,BIS searchKnowStandards,61,115
