IS Number,Full Title,Year,Status,Replaced By,Supersedes,Product Family,Priority,Source Link,IS Base,Cited As,Collected From,Department Id,Committee Id
IS 10553 (Part 2):1983,Requirements for chlorination equipment: Part 2 Vacuum feed type chlorinators,1983,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10553,IS 10553 (Part II),BIS searchKnowStandards,63,203
Is 12444:2020,Copper wire rods for electrical applications — Specification ( First Revision )  Amendment - 1,2020,Superseded,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,Is 12444,IS 12444,BIS searchKnowStandards,70,31
Is 15658:2021,Concrete Paving Blocks - Specification ( First Revision )  Amendment - 2,2021,Superseded,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,Is 15658,IS 15658,BIS searchKnowStandards,63,193
Is 1791:2020,General Requirements for Batch Type Concrete Mixers ( Third Revision )  Amendment - 1,2020,Superseded,UNKNOWN,UNKNOWN,MED — Mechanical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,Is 1791,IS 1791,BIS searchKnowStandards,68,299
IS 4988 (Part 4):1968,Glossary of terms and classification of earth moving machinery: Part 4 excavators,,Withdrawn,UNKNOWN,UNKNOWN,MED — Mechanical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 4988,IS 4988 (Part IV),BIS searchKnowStandards,68,293
IS/IEC 60034 (Part 1):2022,Rotating electrical machines - Part 1: Rating and performance ,2025,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS/IEC 60034,IS 60034,BIS searchKnowStandards,65,249
IS/IEC 60079 (Part 0):2017,Explosive Atmospheres Part 0 Equipment — General Requirements ( Third Revision ) ,2020,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS/IEC 60079,IS 60079,BIS searchKnowStandards,65,256
IS/IEC 60255 (Part 1):2009,Measuring relays and protection equipment: Part 1 common requirements,2015,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS/IEC 60255,IS 60255,BIS searchKnowStandards,65,268
IS/IEC 60529:2001,Degrees of protection provided by enclosures (IP Code),2009,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS/IEC 60529,IS 60529,BIS searchKnowStandards,65,236
IS/IEC 60898 (Part 1):2015,Electrical accessories - Circuit - Breakers for overcurrent protection for household and similar installations: Part 1 circuit - Breakers for a.c. operation (First Revision),2018,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS/IEC 60898,IS 60898,BIS searchKnowStandards,65,241
IS/IEC 60898 (Part 1):2015,Electrical accessories - Circuit - Breakers for overcurrent protection for household and similar installations: Part 1 circuit - Breakers for a.c. operation (First Revision),2018,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS/IEC 60898,IS 60898 (Part 1),BIS searchKnowStandards,65,241
IS/IEC 60947 (Part 1):2020,LOW-VOLTAGE SWITCHGEAR AND CONTROLGEAR PART 1 GENERAL RULES,2023,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS/IEC 60947,IS 60947,BIS searchKnowStandards,65,241
