Tender ID,GeM Bid Id,Product Family,IS Numbers Cited,Count,Outdated Citations,Any Outdated,Unmatched Citations,Usability,OCR Pages,OCR Characters,OCR Dropped
GEM/2024/B/5215084,6700554.0,Unclassified,,0,,Not checked,,Not extractable,0,0,
GEM/2024/B/5217990,6703726.0,Unclassified,,0,,Not checked,,Not extractable,1,48,
GEM/2024/B/5215028,6700487.0,Unclassified,,0,,Not checked,,Read by OCR,1,289,
GEM/2024/B/5218005,6703742.0,Unclassified,,0,,Not checked,,Not extractable,1,160,
GEM/2024/B/5217287,6702956.0,Unclassified,,0,,Not checked,,Read by OCR,1,1961,
GEM/2024/B/5214835,6700260.0,Unclassified,,0,,Not checked,,Read by OCR,2,764,
GEM/2024/B/5218564,6704341.0,Unclassified,,0,,Not checked,,Read by OCR,1,616,
GEM/2024/B/5219940,6705980.0,Unclassified,,0,,Not checked,,Read by OCR,1,223,
GEM/2024/B/5218724,6704545.0,Unclassified,,0,,Not checked,,Read by OCR,2,677,
GEM/2024/B/5223258,6709683.0,Unclassified,,0,,Not checked,,Read by OCR,2,651,
GEM/2024/B/5223383,6709825.0,Unclassified,,0,,Not checked,,Read by OCR,1,1834,
GEM/2024/B/5224289,6710830.0,Unclassified,,0,,Not checked,,Read by OCR,1,612,
GEM/2024/B/5223266,6709691.0,Unclassified,,0,,Not checked,,Read by OCR,3,2024,
GEM/2024/B/5224544,6711108.0,Unclassified,,0,,Not checked,,Read by OCR,2,595,
GEM/2024/B/5220052,6706097.0,Unclassified,,0,,Not checked,,Read by OCR,5,3180,
GEM/2024/B/5216254,6701843.0,Unclassified,,0,,Not checked,,Read by OCR,7,14634,
GEM/2024/B/5228797,6715693.0,Unclassified,,0,,Not checked,,Read by OCR,1,1260,
GEM/2024/B/5229112,6716040.0,Unclassified,,0,,Not checked,,Read by OCR,2,3749,
GEM/2024/B/5228572,6715448.0,Unclassified,,0,,Not checked,,Read by OCR,4,3105,
GEM/2024/B/5230161,6717174.0,Unclassified,,0,,Not checked,,Read by OCR,1,367,
GEM/2024/B/5226545,6713248.0,Unclassified,,0,,Not checked,,Read by OCR,9,1772,
GEM/2024/B/5230741,6717809.0,Unclassified,,0,,Not checked,,Read by OCR,2,4741,
GEM/2024/B/5233495,6720779.0,Unclassified,,0,,Not checked,,Read by OCR,1,404,
GEM/2024/B/5231040,6718133.0,Unclassified,,0,,Not checked,,Read by OCR,2,3273,
GEM/2024/B/5229132,6716066.0,CHD — Chemical Department,IS 5557; IS 15298; IS 15298 (Part I); IS 5852 (incase supplied as per IS: 5557),4,IS 5557 (Superseded),Yes,,Read by OCR,8,9886,
GEM/2024/B/5233747,6721057.0,Unclassified,,0,,Not checked,,Read by OCR,4,1307,
GEM/2024/B/5234453,6721843.0,Unclassified,,0,,Not checked,,Read by OCR,4,8822,
GEM/2024/B/5224456,6711013.0,Unclassified,,0,,Not checked,,Read by OCR,14,26293,
GEM/2024/B/5229449,6716406.0,Unclassified,,0,,Not checked,,Read by OCR,13,21816,
GEM/2024/B/5236776,6724346.0,Unclassified,,0,,Not checked,,Read by OCR,3,4358,
GEM/2024/B/5236224,6723755.0,Unclassified,,0,,Not checked,,Read by OCR,7,22363,
GEM/2024/B/5239585,6727416.0,Unclassified,,0,,Not checked,,Read by OCR,2,7019,
GEM/2024/B/5240424,6728324.0,Unclassified,,0,,Not checked,,Read by OCR,1,2043,
GEM/2024/B/5244240,6732502.0,Unclassified,,0,,Not checked,,Read by OCR,1,377,
GEM/2024/B/5236303,6723842.0,Unclassified,,0,,Not checked,,Read by OCR,12,23695,
GEM/2024/B/5237090,6724684.0,Unclassified,,0,,Not checked,,Read by OCR,8,10301,
GEM/2024/B/5236755,6724322.0,Unclassified,,0,,Not checked,,Read by OCR,8,12295,
GEM/2024/B/5245189,6733554.0,Unclassified,,0,,Not checked,,Not extractable,1,160,
GEM/2024/B/5248665,6737388.0,Unclassified,,0,,Not checked,,Read by OCR,1,401,
GEM/2024/B/5249800,6738734.0,Unclassified,,0,,Not checked,,Not extractable,1,70,
GEM/2024/B/5240297,6728191.0,MTD — Metallurgical Engineering Department,IS 318; IS 1363; IS 1538,3,,No,,Read by OCR,8,8809,
GEM/2024/B/5244928,6733264.0,Unclassified,,0,,Not checked,,Read by OCR,3,4364,
GEM/2024/B/5245176,6733539.0,PGD — Production And General Engineering Department,IS 696; IS 5517,2,IS 696 (Withdrawn),Yes,,Read by OCR,5,5073,
GEM/2024/B/5251601,6740727.0,TXD — Textile Department,IS 894,1,,No,,Read by OCR,1,976,
GEM/2024/B/5260151,6750019.0,Unclassified,,0,,Not checked,,Not extractable,1,0,
GEM/2024/B/5259634,6749469.0,Unclassified,,0,,Not checked,,Read by OCR,2,811,
GEM/2024/B/5258987,6748768.0,Unclassified,,0,,Not checked,,Not extractable,6,0,
GEM/2024/B/5264723,6755004.0,Unclassified,,0,,Not checked,,Read by OCR,4,3439,
GEM/2024/B/5251360,6740455.0,PGD — Production And General Engineering Department,IS 1862,1,,No,,Read by OCR,7,11608,
GEM/2024/B/5266008,6756410.0,Unclassified,,0,,Not checked,,Read by OCR,1,308,
GEM/2024/B/5266113,6756527.0,MTD — Metallurgical Engineering Department,IS 1570 (PART-II),1,IS 1570 (PART-II) (Withdrawn),Yes,,Not extractable,1,170,
GEM/2024/B/5267220,6757738.0,Unclassified,,0,,Not checked,,Read by OCR,2,8342,
GEM/2024/B/5265056,6755378.0,Unclassified,,0,,Not checked,,Read by OCR,9,16726,
GEM/2024/B/5269441,6760134.0,Unclassified,,0,,Not checked,,Read by OCR,2,967,
GEM/2024/B/5268243,6758843.0,Unclassified,,0,,Not checked,,Read by OCR,4,4214,
GEM/2024/B/5270122,6760899.0,Unclassified,,0,,Not checked,,Read by OCR,1,410,
GEM/2024/B/5264920,6755230.0,MED — Mechanical Engineering Department,IS 1570; IS 2048; IS 8531; IS 3400; IS 4682,5,IS 1570 (Withdrawn); IS 2048 (Withdrawn),Yes,,Read by OCR,9,16245,
GEM/2024/B/5271370,6762265.0,Unclassified,,0,,Not checked,,Read by OCR,2,307,
GEM/2024/B/5265434,6755790.0,Unclassified,,0,,Not checked,,Read by OCR,12,6857,
GEM/2024/B/5273388,6764446.0,Unclassified,,0,,Not checked,,Not extractable,1,0,
GEM/2024/B/5270278,6761071.0,Unclassified,,0,,Not checked,,Read by OCR,8,9473,
GEM/2024/B/5279229,6770959.0,Unclassified,,0,,Not checked,,Not extractable,1,156,
GEM/2024/B/5276907,6768340.0,TXD — Textile Department,IS 16186; IS 2813,2,,No,,Read by OCR,7,9842,
GEM/2024/B/5279421,6771182.0,MTD — Metallurgical Engineering Department,IS 5517,1,,No,,Read by OCR,1,1353,
GEM/2024/B/5280573,6772472.0,Unclassified,,0,,Not checked,,Read by OCR,2,395,
GEM/2024/B/5280908,6772849.0,Unclassified,,0,,Not checked,,Read by OCR,1,2679,
GEM/2024/B/5281006,6772957.0,Unclassified,,0,,Not checked,,Read by OCR,1,653,
GEM/2024/B/5248845,6737622.0,Unclassified,,0,,Not checked,,Read by OCR,28,53331,
GEM/2024/B/5284454,6776787.0,Unclassified,,0,,Not checked,,Read by OCR,1,1941,
GEM/2024/B/5281614,6773638.0,MTD — Metallurgical Engineering Department,IS 4001; IS 1030; IS 1875; IS 8500 (Current); IS 2709 (Current),5,IS 8500 (Current) (Withdrawn); IS 2709 (Current) (Withdrawn),Yes,,Read by OCR,3,3972,
GEM/2024/B/5282346,6774426.0,Unclassified,,0,,Not checked,,Read by OCR,4,10267,
GEM/2024/B/5285453,6777915.0,Unclassified,,0,,Not checked,,Read by OCR,3,3232,
GEM/2024/B/5285810,6778293.0,Unclassified,,0,,Not checked,,Read by OCR,1,987,
GEM/2024/B/5287714,6780343.0,Unclassified,,0,,Not checked,,Not extractable,1,115,
GEM/2024/B/5278631,6770228.0,Unclassified,,0,,Not checked,,Read by OCR,12,14529,
GEM/2024/B/5287822,6780461.0,Unclassified,,0,,Not checked,,Read by OCR,2,5093,
GEM/2024/B/5295725,6789162.0,Unclassified,,0,,Not checked,,Not extractable,1,186,
GEM/2024/B/5286816,6779372.0,Unclassified,,0,,Not checked,,Read by OCR,4,10045,
GEM/2024/B/5288130,6780797.0,Unclassified,,0,,Not checked,,Read by OCR,3,3431,
GEM/2024/B/5296774,6790330.0,Unclassified,,0,,Not checked,,Read by OCR,2,2085,
GEM/2024/B/5298562,6792376.0,Unclassified,,0,,Not checked,,Read by OCR,1,521,
