Tender ID,Product Family,IS Numbers Cited,Foreign Standards Cited,Count,Outdated Citations,Any Outdated,Document Type,Usability,Source Link,Unmatched Citations
2025_06_13_09_32_05_technical_compliance,Electrical cables and wiring,IS 300; IS 613; IS 3975; IS 4905; IS 5082; IS 5831; IS 7098; IS 8130; IS 9968; IS 10418; IS 10810,,11,,Not checked,Text PDF,Usable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/00/58/120/CatalogAttrs/SpecificationDocument/2025/6/13/2025_06_13_09_32_05_technical_compliance_2025-06-13-09-32-06_64b742aa7189962fe54f8a902c5c5aaf.pdf,IS 300; IS 613; IS 3975; IS 4905; IS 5082
1722334397.pdf,Electrical cables and wiring,IS 1255; IS 1554; IS 1554 (Part 1); IS 3961; IS 3975; IS 5831; IS 7098; IS 7098 (Part 1); IS 8130; IS 10418; IS 17573,,11,,Not checked,Text PDF,Usable,https://bidplus.gem.gov.in/bidding/bid/documentdownload/6713228/1722334397.pdf,IS 3975; IS 17573
Tender Document-LT Cable.pdf,Electrical cables and wiring,IS 1255; IS 3975; IS 4905; IS 5831; IS 7098; IS 8130; IS 10418; IS 10810,,8,,Not checked,Text PDF,Usable,https://cochinport.gov.in/sites/default/files/2020-06/Tender%20Document-LT%20Cable.pdf,IS 3975; IS 4905
1784606099.pdf,Electrical cables and wiring,IS 3975; IS 4905; IS 5831; IS 7098; IS 8130; IS 10418; IS 10810,,7,,Not checked,Text PDF,Usable,https://bidplus.gem.gov.in/bidding/bid/documentdownload/9569038/1784606099.pdf,IS 3975; IS 4905
tender_document_pvc_insulated_calbe_2026,Unclassified,,,0,,Not checked,Scanned PDF,Not extractable,https://mkp.gem.gov.in/uploaded_documents/51/16/877/OrderItem/BoqDocument/2026/4/15/tender_document_pvc_insulated_calbe_2026-04-15-16-46-48_e01afd8d94007a330875ea7a6631b7fd.pdf,
1776313684.pdf,Electrical cables and wiring,IS 694; IS 5831; IS 8130,,3,,No,Text PDF,Usable,https://bidplus.gem.gov.in/bidding/bid/documentdownload/9222285/1776313684.pdf,
1729688753_VolumeIII258.pdf,Electrical cables and wiring,IS 204; IS 277; IS 281; IS 694; IS 808; IS 1173; IS 1341; IS 1730; IS 1732; IS 2062; IS 13592; IS 14375,,12,,Not checked,Text PDF,Usable,https://epi.gov.in/admin/image/tenders/1729688753_VolumeIII258.pdf,IS 204; IS 277; IS 281; IS 808; IS 1173; IS 1341; IS 1730; IS 1732; IS 2062; IS 14375
1709810880_AddendumI.pdf,Electrical cables and wiring,IS 101; IS 104; IS 158; IS 210; IS 269; IS 277; IS 318; IS 320; IS 325; IS 374; IS 383; IS 415; IS 432; IS 455; IS 456; IS 458; IS 513; IS 516; IS 554; IS 600; IS 613; IS 638; IS 651; IS 655; IS 661; IS 694; IS 702; IS 722; IS 732; IS 771 (Part 1); IS 771 (Part I); IS 774; IS 775; IS 778; IS 779; IS 780; IS 781; IS 783; IS 800; IS 803; IS 806; IS 808; IS 813; IS 814; IS 816; IS 822; IS 875; IS 919; IS 1024; IS 1068; IS 1077; IS 1139; IS 1161; IS 1172; IS 1182; IS 1199; IS 1231; IS 1239; IS 1239 (Part 1); IS 1248; IS 1255; IS 1293; IS 1303; IS 1363; IS 1367; IS 1367 (Part 1); IS 1367 (Part 2); IS 1377; IS 1395; IS 1460; IS 1477; IS 1489; IS 1500; IS 1536; IS 1538; IS 1544; IS 1554; IS 1554 (Part 2); IS 1700; IS 1703; IS 1711; IS 1726; IS 1729; IS 1742; IS 1786; IS 1852; IS 1879; IS 1913; IS 1944; IS 1944 (Part 1); IS 1978; IS 1979; IS 2026; IS 2062; IS 2064; IS 2065; IS 2074; IS 2099; IS 2104; IS 2189; IS 2312; IS 2326; IS 2373; IS 2379; IS 2501; IS 2527; IS 2544; IS 2548 (Part 1); IS 2548 (Part 2); IS 2548 (Part I); IS 2551; IS 2556; IS 2556 (Part 1); IS 2556 (Part 11); IS 2556 (Part 12); IS 2556 (Part 15); IS 2556 (Part 2); IS 2556 (Part 3); IS 2556 (Part 4); IS 2556 (Part 7); IS 2556 (Part 8); IS 2595; IS 2629; IS 2633; IS 2643 (Part 1); IS 2643 (Part 2); IS 2643 (Part 3); IS 2667; IS 2685; IS 2692; IS 2705; IS 2717; IS 2751; IS 2800 (Part II); IS 2834; IS 2906; IS 2932; IS 2963; IS 3025; IS 3043; IS 3114; IS 3144; IS 3156; IS 3231; IS 3311; IS 3427; IS 3452; IS 3468; IS 3502; IS 3588; IS 3589; IS 3600; IS 3646; IS 3658; IS 3696; IS 3696 (Part 1); IS 3696 (Part 2); IS 3757; IS 3854; IS 3950; IS 3989; IS 4000; IS 4007; IS 4014; IS 4038; IS 4111 (Part 1); IS 4127; IS 4232; IS 4260; IS 4346; IS 4353; IS 4711; IS 4722; IS 4759; IS 4853; IS 4889; IS 4894; IS 4926; IS 4985; IS 5082; IS 5312; IS 5312 (Part 1); IS 5329; IS 5334; IS 5382; IS 5414; IS 5455; IS 5578; IS 5831; IS 5832; IS 5961; IS 6005; IS 6159; IS 6249; IS 6297; IS 6392; IS 6411; IS 6418; IS 6553; IS 6603; IS 6619; IS 6639; IS 6665; IS 6875; IS 7090; IS 7098; IS 7098 (Part I); IS 7181; IS 7205; IS 7215; IS 7558; IS 7634 (Part 3); IS 7834 (Part 1); IS 7969; IS 8034; IS 8041; IS 8048; IS 8112; IS 8130; IS 8183; IS 8225; IS 8321; IS 8329; IS 8419; IS 8931; IS 8989; IS 9000; IS 9103; IS 9283; IS 9385; IS 9523; IS 9537; IS 9595; IS 9668; IS 9758; IS 9842; IS 9912; IS 9920; IS 9954; IS 10000; IS 10118; IS 10221; IS 10234; IS 10262; IS 10322; IS 10446; IS 10810; IS 11149; IS 11171; IS 11723; IS 11790; IS 11906; IS 12065; IS 12075; IS 12118; IS 12183 (Part 1); IS 12235 (Part 1); IS 12251; IS 12288; IS 12330; IS 12406; IS 12615; IS 12701; IS 12778; IS 12820; IS 12843; IS 12992; IS 13095; IS 13183; IS 13360 (Part 6); IS 13592; IS 13703; IS 13756; IS 13925; IS 13947; IS 13947 (Part 1); IS 14587; IS 14665 (Part 1); IS 14665 (Part 2); IS 14665 (Part 3); IS 14665 (Part 4); IS 14665 (Part 5); IS 14700; IS 14846; IS 14930 (Part II); IS 15330; IS 15477; IS 15652; IS 15778; IS 15885; IS 15885 (Part 2); IS 16101; IS 16102; IS 16103; IS 16103 (Part 1); IS 16103 (Part 2); IS 16104; IS 16105; IS 16106; IS 16107; IS 16107 (Part 1); IS 16108; IS 16205 (Part 24); IS 16636; IS 19947; IS 23896; IS 60034; IS 61439; IS 62271; IS 62305,,310,,Not checked,Text PDF,Multi-scope,https://epi.gov.in/admin/image/tenders/1709810880_AddendumI.pdf,
1707995595_Tenderdoc158.pdf,Pipes (PVC and GI),IS 100; IS 101; IS 104; IS 150; IS 158; IS 164; IS 210; IS 226; IS 269; IS 277; IS 318; IS 320; IS 325; IS 383; IS 432; IS 455; IS 456; IS 458; IS 500; IS 513; IS 516; IS 554; IS 638; IS 651; IS 694; IS 702; IS 736; IS 771 (Part 1); IS 771 (Part I); IS 774; IS 775; IS 778; IS 779; IS 780; IS 781; IS 783; IS 800; IS 803; IS 806; IS 808; IS 813; IS 814; IS 816; IS 822; IS 875 (Part I); IS 919; IS 1024; IS 1068; IS 1077; IS 1139; IS 1161; IS 1172; IS 1182; IS 1199; IS 1239; IS 1239 (Part 1); IS 1303; IS 1363; IS 1364; IS 1367; IS 1367 (Part 1); IS 1367 (Part 2); IS 1377; IS 1395; IS 1477; IS 1489; IS 1500; IS 1536; IS 1538; IS 1554; IS 1554 (Part 2); IS 1700; IS 1703; IS 1711; IS 1726; IS 1729; IS 1742; IS 1786; IS 1852; IS 1879; IS 1893 (Part I); IS 1978; IS 1979; IS 1992; IS 2062; IS 2064; IS 2065; IS 2074; IS 2104; IS 2326; IS 2373; IS 2379; IS 2501; IS 2527; IS 2548 (Part 1); IS 2548 (Part 2); IS 2548 (Part I); IS 2556; IS 2556 (Part 1); IS 2556 (Part 11); IS 2556 (Part 12); IS 2556 (Part 15); IS 2556 (Part 2); IS 2556 (Part 3); IS 2556 (Part 4); IS 2556 (Part 7); IS 2556 (Part 8); IS 2595; IS 2629; IS 2643 (Part 1); IS 2643 (Part 2); IS 2643 (Part 3); IS 2685; IS 2692; IS 2717; IS 2720; IS 2751; IS 2800; IS 2906; IS 2932; IS 2963; IS 3025; IS 3114; IS 3144; IS 3311; IS 3468; IS 3502; IS 3589; IS 3600; IS 3614; IS 3658; IS 3696; IS 3757; IS 3764; IS 3950; IS 3989; IS 4000; IS 4014; IS 4038; IS 4111 (Part 1); IS 4127; IS 4260; IS 4346; IS 4353; IS 4711; IS 4853; IS 4923; IS 4926; IS 4985; IS 5312; IS 5312 (Part 1); IS 5329; IS 5334; IS 5382; IS 5414; IS 5455; IS 5832; IS 5961; IS 6159; IS 6249; IS 6392; IS 6403; IS 6411; IS 6418; IS 6603; IS 6639; IS 7181; IS 7205; IS 7215; IS 7357; IS 7558; IS 7634 (Part 3); IS 7834 (Part 1); IS 7969; IS 8034; IS 8041; IS 8112; IS 8183; IS 8225; IS 8321; IS 8329; IS 8931; IS 9103; IS 9283; IS 9523; IS 9595; IS 9668; IS 9758; IS 9842; IS 9912; IS 9954; IS 10221; IS 10234; IS 10262; IS 10446; IS 11149; IS 11723; IS 11790; IS 11906; IS 12118; IS 12183 (Part 1); IS 12235 (Part 1); IS 12251; IS 12288; IS 12330; IS 12406; IS 12592; IS 12701; IS 12778; IS 12820; IS 12843; IS 12992; IS 13095; IS 13183; IS 13592; IS 13756; IS 14587; IS 14846; IS 15477; IS 15622; IS 15658; IS 15778; IS 23896,,223,,Not checked,Text PDF,Multi-scope,https://epi.gov.in/admin/image/tenders/1707995595_Tenderdoc158.pdf,
1732271752_Vol-3.pdf,Electrical cables and wiring,IS 383; IS 694; IS 3224; IS 7285; IS 13849; IS 14609; IS 15683,,7,,Not checked,Text PDF,Usable,https://epi.gov.in/admin/image/tenders/1732271752_Vol-3.pdf,IS 383; IS 3224; IS 7285; IS 13849; IS 14609; IS 15683
